PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck
0247_02,1,1,0,19,0,0,0,0,0,0
0249_01,0,0,2,50,0,0,0,78,751,78
0256_01,0,0,1,41,0,0,0,728,0,0
0259_01,2,0,0,19,0,1,0,2839,85,0
0262_01,0,0,2,20,0,186,0,0,602,100
0264_01,1,1,0,19,0,0,0,0,0,0
0264_02,1,1,2,38,0,0,0,0,0,0
0264_03,1,0,0,32,0,1340,439,0,8517,1256
0266_01,2,0,2,44,0,696,0,462,46,94
0266_02,2,0,2,18,0,1542,0,138,0,0
0268_01,2,0,2,49,0,108,0,41,1560,0
0268_02,2,0,0,23,0,3186,0,0,2,0
0271_01,0,0,2,31,0,41,334,1,62,484
0272_01,2,0,2,55,0,1054,0,2,0,1
0273_01,2,0,2,60,0,60,0,7022,0,0
0273_02,2,1,2,20,0,0,0,0,0,0
0273_03,2,0,2,34,0,301,0,79,919,0
0274_01,2,0,2,14,0,123,0,0,1936,22
0274_02,2,1,2,26,0,0,439,0,0,310
0276_01,1,0,0,19,0,0,86,0,368,4055
0276_02,1,1,2,25,0,0,0,0,0,0
0279_01,0,0,0,42,0,98,10,0,613,0
0280_01,0,0,2,18,0,212,678,12,0,0
0284_01,2,0,2,50,0,0,0,1299,0,0
0292_01,0,0,2,26,0,0,439,0,1079,281
0293_01,1,1,2,47,0,0,0,0,0,0
0295_01,0,0,1,35,0,219,627,0,44,0
0296_01,2,0,0,58,0,73,0,422,978,0
0299_01,0,0,0,20,0,376,0,242,1,0
0300_01,1,0,2,28,0,5,11549,132,4966,524
0308_01,0,1,1,12,0,219,0,0,0,0
0311_01,0,0,0,20,0,219,0,0,10,0
0312_01,0,1,2,22,0,0,0,0,0,0
0317_01,0,0,2,31,0,0,34,81,0,608
0318_01,0,1,1,24,0,0,0,0,0,0
0319_01,2,0,2,17,0,1031,0,1026,42,0
0319_02,2,1,0,28,0,0,0,0,0,0
0323_01,0,1,0,18,0,0,0,0,0,0
0325_01,0,0,2,48,0,219,755,0,0,0
0328_01,0,0,2,38,0,3,1252,1,0,0
0329_01,1,1,0,33,0,0,0,0,0,0
0332_01,0,1,2,20,0,0,0,0,0,0
0335_01,2,0,2,22,0,0,0,0,0,0
0339_01,0,0,2,52,0,356,34,288,0,124
0339_02,0,0,0,15,0,638,0,7,0,0
0339_03,0,0,2,25,0,10,2,755,0,9
0339_04,0,1,0,14,0,0,0,0,0,0
0339_05,0,1,0,28,0,0,0,0,0,0
0339_06,0,0,2,16,0,1395,0,0,21,522
0339_07,0,0,2,48,0,1,0,259,308,450
0339_08,0,0,2,36,0,0,69,0,0,796
0342_01,0,0,1,19,0,0,74,610,0,310
0342_02,0,1,1,43,0,0,0,0,0,0
0344_01,1,1,2,32,0,0,0,0,0,0
0344_02,1,0,0,54,0,0,8,4391,4882,7
0349_01,1,0,2,33,0,0,1030,0,3490,5832
0349_02,1,1,2,21,0,0,0,0,0,0
0349_03,1,0,2,33,0,23,0,737,493,1373
0349_04,1,1,0,28,0,0,0,0,0,0
0349_05,1,0,2,23,0,0,1468,0,704,1193
0349_06,1,0,2,26,0,8,67,0,393,1975
0351_01,2,1,2,41,0,0,0,0,0,0
0353_01,0,1,2,2,0,219,0,0,0,0
0353_02,0,1,1,21,0,0,0,0,0,0
0354_01,0,0,1,70,0,130,0,1247,0,3
0362_01,0,0,2,20,0,0,1704,3,0,0
0363_01,0,0,2,31,0,273,722,1,0,0
0363_02,0,0,2,8,0,0,0,0,0,310
0363_03,0,1,2,5,0,0,0,0,0,0
0364_01,2,0,2,45,0,288,0,932,4,0
0364_02,2,0,2,37,0,731,0,517,50,0
0366_01,0,1,2,24,0,0,0,0,0,0
0367_01,1,0,0,55,0,0,538,0,6,5288
0374_01,0,0,2,18,0,0,251,177,0,553
0374_02,0,0,2,36,0,6,0,0,783,0
0386_01,2,0,2,59,0,1678,439,0,0,0
0390_01,0,1,2,61,0,0,0,0,0,0
0393_01,0,0,0,46,0,4908,1,3,1,14
0394_01,2,0,2,29,0,87,1192,67,0,3
0399_01,0,1,2,18,0,0,0,0,0,0
0400_01,1,1,2,20,0,0,0,0,0,0
0404_01,2,0,2,28,0,4,0,2219,0,0
0406_01,0,0,2,26,0,708,183,10,0,0
0414_01,0,0,2,32,0,642,0,759,332,1444
0416_01,0,0,2,18,0,658,0,0,0,5
0418_01,0,0,2,50,0,1,0,0,736,0
0419_01,0,0,2,47,0,239,75,487,7,0
0419_02,0,1,1,15,0,0,0,0,0,0
0419_03,0,1,2,35,0,0,0,0,0,0
0420_01,0,0,2,49,0,189,439,0,882,0
0421_01,1,0,0,32,0,0,2116,6252,0,81
0422_01,0,0,2,63,0,4,6,0,303,835
0424_01,2,0,2,54,0,129,0,441,1028,0
0426_01,0,0,2,21,0,128,0,20,628,0
0440_01,2,0,2,38,0,1030,1347,197,3,0
0443_01,2,0,2,50,0,0,0,0,0,0
0450_01,0,0,1,32,0,1,0,858,0,689
0451_01,1,1,0,33,0,0,0,0,0,0
0455_01,1,0,2,30,0,0,870,67,1,461
0464_01,0,1,2,28,0,0,0,0,0,310
0467_01,2,1,2,22,0,0,0,0,0,0
0467_02,2,1,2,28,0,0,0,0,0,310
0467_03,2,1,0,37,0,0,0,0,0,0
0467_04,2,0,2,59,0,53,0,2736,0,0
0469_01,1,0,2,31,0,0,2522,0,0,2756
0473_01,0,0,2,25,0,246,0,541,0,16
0478_01,1,0,2,38,0,8,147,0,7668,46
0478_02,1,1,0,37,0,0,0,0,0,0
0479_01,1,1,0,44,0,0,0,0,0,0
0483_01,1,1,2,28,0,0,0,0,0,0
0483_02,1,0,2,45,0,0,0,0,0,0
0484_01,2,1,0,53,0,0,0,0,0,0
0486_01,0,0,0,21,0,0,0,687,0,21
0489_01,2,1,2,33,0,0,0,0,0,0
0489_02,2,1,2,18,0,0,0,0,0,0
0491_01,0,0,1,37,0,219,0,1022,15,0
0492_01,2,0,2,34,0,648,0,371,38,0
0493_01,0,1,2,46,0,0,0,0,0,0
0494_01,1,1,0,18,0,0,0,0,0,0
0494_02,1,0,2,19,0,1,1378,63,163,659
0495_01,0,1,2,4,0,0,0,0,0,0
0495_02,0,1,2,0,0,0,0,0,0,0
0495_03,0,1,2,12,0,0,0,0,0,0
0495_04,0,0,2,7,0,0,0,0,0,0
0495_05,0,0,2,34,0,1729,17,0,303,1298
0495_06,0,0,2,10,0,0,0,0,0,0
0496_01,0,0,0,0,0,219,0,0,0,0
0496_02,0,1,1,14,0,0,0,0,0,0
0497_01,2,1,2,27,0,0,0,0,0,0
0505_01,0,0,2,21,0,15,345,18,486,0
0508_01,1,0,0,37,0,4105,2081,1,118,446
0509_01,0,1,2,29,0,0,0,0,0,0
0511_01,0,0,2,17,0,441,0,131,315,5
0514_01,0,1,2,17,0,0,0,0,0,0
0524_01,1,0,2,35,0,0,6442,672,238,60
0526_01,0,1,2,34,0,0,0,0,0,0
0530_01,1,0,2,17,0,760,752,0,16,2471
0530_02,1,0,0,39,0,0,547,0,1121,4641
0530_03,1,1,0,56,0,0,0,0,0,0
0532_01,1,0,0,35,0,3424,20,0,442,1130
0532_02,1,1,2,17,0,0,0,0,0,0
0535_01,0,0,1,29,0,0,0,288,395,0
0536_01,2,0,2,15,0,4922,0,2427,0,0
0536_02,2,0,2,37,0,1063,133,99,2,0
0541_01,1,1,2,36,0,0,0,0,0,0
0543_01,0,1,2,36,0,0,0,0,0,0
0544_01,1,0,2,18,0,4,9352,0,10,46
0554_01,2,0,2,61,0,2221,0,0,1,0
0557_01,2,1,2,45,0,0,0,0,0,0
0557_02,2,1,2,21,0,0,0,0,0,0
0558_01,0,0,2,65,0,0,804,0,0,0
0562_01,2,0,2,27,0,286,0,1023,0,0
0562_02,2,1,2,13,0,0,0,0,0,0
0574_01,2,0,2,32,0,2543,1,55,0,0
0578_01,0,1,2,17,0,0,0,0,0,0
0578_02,0,0,2,44,0,0,0,0,0,0
0584_01,0,1,2,21,0,0,0,0,0,0
0584_02,0,0,2,16,0,0,379,0,2488,1
0592_01,0,0,2,41,0,0,1032,0,0,32
0595_01,0,1,2,40,0,0,0,0,0,0
0601_01,0,0,2,16,0,0,492,0,0,0
0604_01,0,0,2,17,0,0,24,673,0,0
0605_01,0,0,2,40,0,5,0,3,447,424
0606_01,0,1,1,37,0,0,0,0,0,0
0613_01,1,1,2,53,0,0,0,0,0,0
0613_02,1,1,2,42,0,0,0,0,0,0
0616_01,0,0,2,31,0,0,428,177,1154,1025
0617_01,2,0,2,18,0,1644,430,158,0,0
0620_01,2,0,2,51,1,755,6,284,102,310
0620_02,2,0,2,20,0,0,0,1281,8,0
0620_03,2,0,0,19,0,0,0,1435,15,0
0621_01,0,0,2,22,0,499,46,174,61,7
0622_01,1,0,0,41,0,0,1528,11,10243,17
0624_01,1,0,2,28,0,0,1048,1469,0,22
0625_01,2,1,0,0,0,0,0,0,0,0
0625_02,2,1,2,42,0,0,0,0,0,0
0625_03,2,1,0,20,0,0,0,0,0,0
0626_01,1,1,0,25,0,0,0,0,0,0
0626_02,1,1,2,22,0,0,0,0,0,0
0626_03,1,0,2,25,1,30,5718,0,0,1385
0627_01,2,0,2,45,0,0,0,1057,0,0
0632_01,0,0,2,19,0,0,77,0,532,256
0632_02,0,0,1,16,0,72,4,1456,303,0
0632_03,0,1,2,18,0,0,0,0,0,0
0640_01,1,1,2,38,0,0,0,0,0,0
0640_02,1,1,0,27,0,0,0,0,0,0
0648_01,2,0,0,36,0,748,0,222,0,0
0648_02,2,0,2,21,0,1045,90,1110,333,0
0649_01,0,0,2,1,0,0,0,0,0,0
0651_01,1,1,2,25,0,0,0,0,0,0
0652_01,0,1,1,3,0,0,0,0,0,0
0652_02,0,0,2,7,0,0,0,0,0,0
0652_03,0,0,2,0,0,0,0,0,0,0
0652_04,0,0,2,32,0,632,0,0,2,0
0652_05,0,0,0,5,0,0,0,0,0,0
0654_01,0,0,2,79,0,0,0,881,7,0
0662_01,0,0,2,19,0,0,0,691,0,57
0666_01,0,1,2,30,0,0,0,0,0,310
0666_02,0,0,2,13,0,1,875,0,0,0
0667_01,2,0,2,53,0,596,0,1608,505,0
0670_01,2,0,2,40,0,710,379,264,0,5
0670_02,2,0,2,32,0,1279,0,20,0,0
0673_01,0,1,0,31,0,0,439,0,0,0
0675_01,0,0,2,63,0,13,1415,0,170,21
0676_01,2,0,2,18,0,219,0,54,0,0
0681_01,0,1,2,21,0,0,0,0,0,0
0692_01,0,0,2,14,0,9,0,1790,8,31
0694_01,0,1,1,41,0,0,0,0,0,0
0695_01,0,1,0,40,0,0,0,0,0,0
0698_01,0,0,2,58,0,0,0,46,755,0
0700_01,0,0,2,22,0,0,65,221,5,304
0706_01,0,1,0,13,0,0,0,0,0,0
0708_01,1,1,2,16,0,0,0,0,0,0
0708_02,1,1,0,13,0,0,0,0,0,0
0711_01,2,0,2,15,0,1344,0,1020,0,1
0716_01,2,0,2,42,0,466,0,583,0,0
0717_01,1,1,2,24,0,0,0,0,0,0
0717_02,1,0,0,19,0,0,1502,1,874,437
0717_03,1,1,2,28,0,0,0,0,0,0
0717_04,1,1,2,29,0,0,0,0,0,0
0717_05,1,0,2,15,0,0,437,0,2,4679
0717_06,1,0,2,38,0,1,2352,1604,66,2583
0717_07,1,1,0,49,0,0,0,0,0,0
0720_01,2,1,2,20,0,0,0,0,0,0
0720_02,2,0,2,28,0,0,0,0,0,0
0720_03,2,0,2,19,0,1661,0,350,336,231
0721_01,0,0,2,46,0,17,43,659,40,0
0722_01,2,0,2,21,0,559,725,3,0,0
0723_01,0,0,0,29,0,0,0,33,539,0
0725_01,0,1,1,28,0,0,0,0,0,0
0730_01,0,0,2,44,0,14,0,1817,2,171
0731_01,0,0,2,19,0,720,0,7,0,32
0731_02,0,0,2,29,0,60,480,5,0,276
0735_01,2,0,2,25,0,266,98,748,169,6
0739_01,0,0,2,41,0,0,885,0,0,0
0741_01,0,0,0,19,0,219,163,1487,1,223
0742_01,2,0,2,33,0,4,153,892,0,0
0742_02,2,1,2,25,0,0,0,0,0,0
0744_01,1,1,0,44,0,219,0,0,0,0
0745_01,0,0,2,21,0,0,0,0,787,1
0747_01,2,0,2,32,0,530,0,1195,11,788
0748_01,2,1,2,33,0,0,0,0,0,0
0748_02,2,0,2,32,0,1705,0,175,434,172
0749_01,2,1,2,19,0,0,0,0,0,0
0751_01,2,1,2,21,0,0,0,177,0,0
0752_01,0,1,2,23,0,0,0,0,0,0
0755_01,1,0,0,31,0,0,1029,1247,0,52
0758_01,1,0,2,22,0,3,2490,0,1197,144
0758_02,1,1,0,74,0,0,0,0,0,0
0758_03,1,0,2,53,0,472,3,0,1935,2505
0759_01,1,1,0,40,0,0,0,0,0,0
0759_02,1,0,0,23,0,0,4733,0,1412,4419
0759_03,1,1,2,36,0,0,0,0,0,0
0760_01,0,0,2,18,0,178,0,11,478,0
0763_01,1,1,2,29,0,0,0,0,0,0
0763_02,1,0,2,48,0,1,14,2,3717,0
0766_01,2,1,2,34,0,0,0,0,0,0
0774_01,1,0,2,34,0,0,3410,0,0,1456
0774_02,1,0,0,27,0,0,1288,0,1342,3506
0774_03,1,0,2,44,0,0,0,0,0,0
0775_01,1,0,2,0,0,0,0,0,0,0
0775_02,1,1,2,1,0,0,0,0,0,0
0775_03,1,1,2,18,0,0,0,0,0,0
0775_04,1,0,2,23,0,0,1857,1,386,15940
0775_05,1,0,2,26,0,0,3326,3,621,51
0775_06,1,1,0,46,0,0,0,0,0,0
0778_01,1,1,2,41,0,0,0,0,0,0
0778_02,1,0,0,25,0,0,1641,20,1663,10
0780_01,2,1,2,50,0,0,0,0,303,0
0783_01,0,0,2,28,0,2,372,0,0,506
0792_01,0,1,1,17,0,0,0,0,0,0
0800_01,1,0,0,29,1,149,1704,0,7402,14
0801_01,2,1,2,19,0,0,0,0,0,0
0803_01,0,0,0,34,0,0,0,0,0,0
0804_01,1,1,0,28,0,0,0,0,0,0
0807_01,2,0,2,47,0,3682,3636,177,83,310
0810_01,2,0,2,28,0,830,0,278,3,2
0812_01,2,1,2,38,0,0,439,0,0,0
0814_01,2,0,2,22,1,2227,324,47,303,0
0821_01,2,0,0,18,0,0,0,0,0,0
0827_01,1,0,2,21,0,0,2673,0,1678,30
0827_02,1,0,2,40,0,0,0,0,0,0
0827_03,1,1,0,67,0,0,0,0,0,0
0831_01,0,0,1,39,0,182,148,35,23,277
0832_01,0,1,1,19,0,0,0,0,0,0
0837_01,1,1,2,28,0,0,0,0,0,0
0837_02,1,0,0,29,0,0,699,377,3858,6
0838_01,2,1,2,22,0,0,0,0,0,0
0838_02,2,0,2,23,0,2577,0,0,0,2
0841_01,0,0,1,41,0,0,171,80,2393,4
0842_01,2,1,2,25,0,0,0,0,0,0
0843_01,0,1,1,43,0,0,0,0,0,0
0844_01,2,1,2,54,0,0,0,0,0,0
0847_01,0,0,2,14,0,698,0,0,1,0
0852_01,1,1,2,69,0,0,0,0,0,0
0854_01,0,1,1,24,0,0,439,0,0,0
0855_01,1,0,2,37,0,0,0,0,0,0
0856_01,0,0,2,28,0,869,0,2,0,0
0857_01,1,0,0,59,0,0,2935,529,21,462
0858_01,2,0,2,20,0,2024,0,269,13,0
0858_02,2,1,2,23,0,0,0,0,0,310
0861_01,0,0,2,59,0,0,0,0,0,0
0862_01,0,1,2,20,0,0,0,0,0,0
0864_01,2,0,2,36,0,3160,0,12,0,310
0864_02,2,1,2,43,0,0,0,0,0,0
0864_03,2,1,2,9,0,0,0,0,0,0
0866_01,2,1,2,32,0,0,0,0,0,0
0872_01,0,0,2,24,0,780,0,0,2,6
0880_01,2,1,1,14,0,0,0,0,0,0
0880_02,2,1,2,45,0,0,0,0,0,310
0882_01,0,0,2,23,0,299,4958,299,0,93
0884_01,0,0,2,59,0,0,0,0,7,833
0884_02,0,0,2,28,0,0,0,762,0,0
0886_01,2,0,2,61,0,1399,0,693,0,0
0886_02,2,1,2,52,0,0,0,0,0,0
0886_03,2,1,2,5,0,0,0,0,0,0
0887_01,1,0,2,51,0,0,54,0,22,5915
0887_02,1,0,2,26,0,61,1124,59,2217,622
0888_01,2,0,2,44,0,589,0,235,20,31
0888_02,2,0,2,46,0,1246,0,3767,1,0
0891_01,2,0,2,32,0,176,0,2851,0,0
0892_01,1,1,2,17,0,0,0,0,0,0
0892_02,1,1,0,21,0,0,0,0,0,0
0892_03,1,1,0,52,0,0,0,177,0,0
0894_01,1,1,0,52,0,0,0,0,0,0
0895_01,0,0,2,14,0,0,1277,0,241,310
0896_01,0,0,2,21,0,0,0,644,303,0
0897_01,1,1,0,42,0,0,0,0,0,0
0897_02,1,1,2,28,0,0,0,0,0,0
0900_01,0,1,1,26,0,0,0,0,0,0
0908_01,0,1,2,7,0,0,0,0,0,0
0909_01,2,0,2,14,0,1793,0,300,0,0
0909_02,2,1,2,3,0,0,0,0,0,0
0909_03,2,1,2,26,0,0,0,0,0,0
0914_01,1,0,0,54,0,0,8179,0,2673,6512
0916_01,0,0,2,55,0,0,4,512,365,0
0917_01,2,0,2,16,0,9,0,1162,2,0
0920_01,1,0,2,38,0,0,6915,0,3243,5218
0929_01,0,0,2,48,0,411,405,31,5,34
0934_01,0,0,0,13,0,483,0,28,375,0
0936_01,0,0,2,20,0,0,4,0,732,1
0937_01,2,1,2,18,0,0,0,0,0,0
0943_01,2,1,2,45,0,0,0,0,0,0
0943_02,2,1,2,5,0,0,0,0,0,0
0943_03,2,0,0,42,0,22,0,697,798,0
0945_01,2,0,0,50,0,901,0,242,160,0
0945_02,2,0,2,21,0,590,0,114,0,415
0948_01,0,0,2,22,0,141,695,0,116,482
0950_01,2,1,2,23,0,0,0,0,0,0
0954_01,0,0,1,22,0,0,154,497,16,1
0958_01,0,0,2,21,0,0,60,0,303,653
0959_01,0,0,1,24,0,640,155,0,0,0
0962_01,0,0,2,24,0,9,71,2572,0,0
0963_01,1,1,2,42,0,0,0,0,0,0
0967_01,0,0,2,19,0,1,0,0,0,632
0973_01,0,0,2,32,0,0,0,0,0,908
0974_01,0,0,2,35,0,666,175,783,0,0
0977_01,0,1,1,19,0,0,0,0,0,0
0980_01,0,0,2,55,0,0,24,52,808,0
0981_01,0,0,2,35,0,0,382,0,370,156
0981_02,0,1,2,63,0,0,0,0,0,0
0986_01,1,0,2,66,0,2164,46,0,6962,2257
0986_02,1,1,0,45,0,0,0,0,0,0
0996_01,0,0,1,20,0,0,363,344,0,165
0999_01,0,1,1,21,0,0,0,0,0,0
0999_02,0,0,2,51,0,0,908,0,0,0
1003_01,0,0,2,13,0,731,0,51,0,0
1007_01,0,0,2,24,0,826,5,1,56,0
1009_01,2,0,2,28,0,240,161,0,0,1405
1010_01,2,1,2,52,0,0,0,0,0,0
1016_01,1,0,0,32,0,0,2983,0,6282,74
1021_01,0,0,2,23,0,0,458,151,256,0
1023_01,2,1,2,37,0,0,0,0,0,0
1028_01,0,1,1,35,0,0,0,0,0,0
1037_01,0,1,2,46,0,219,0,0,0,0
1039_01,0,0,2,33,0,553,6,0,0,90
1042_01,1,0,0,34,1,0,1286,39,527,57
1044_01,0,0,2,51,0,0,111,1719,45,4
1050_01,0,1,2,28,0,0,0,177,0,0
1055_01,0,0,2,27,0,54,47,630,0,53
1059_01,1,1,0,22,0,0,0,0,0,0
1059_02,1,1,0,33,0,0,0,0,0,0
1061_01,1,1,0,31,0,0,0,0,0,0
1064_01,0,0,2,16,0,0,0,978,9,0
1064_02,0,0,0,6,0,0,0,0,0,0
1067_01,0,0,1,18,0,289,0,423,150,508
1069_01,1,1,0,30,0,0,0,0,0,0
1070_01,0,0,2,24,0,0,92,656,0,0
1072_01,0,1,1,57,0,0,0,0,0,0
1072_02,0,1,2,24,0,0,0,0,303,0
1072_03,0,0,2,23,0,0,784,177,0,1
1072_04,0,0,2,40,0,150,8,565,60,0
1072_05,0,0,0,21,0,699,0,0,0,18
1072_06,0,0,2,17,0,154,49,540,0,0
1072_07,0,1,0,25,0,0,439,0,0,0
1072_08,0,1,2,34,0,0,0,0,0,0
1073_01,0,0,2,18,0,212,188,38,0,449
1074_01,0,0,2,8,0,0,0,0,0,0
1074_02,0,1,1,14,0,0,0,0,0,0
1081_01,0,0,2,16,0,0,0,0,0,0
1087_01,2,0,2,22,0,4,192,1161,11,19
1090_01,1,1,2,21,0,0,0,0,0,0
1090_02,1,0,0,23,0,0,7600,177,188,12863
1092_01,0,1,0,26,0,0,0,0,0,0
1098_01,2,0,2,18,0,2233,0,346,0,0
1101_01,0,0,2,72,0,0,708,0,1,11
1103_01,2,0,2,18,0,1216,0,32,41,0
1104_01,1,1,0,24,0,0,0,0,0,0
1106_01,2,0,2,36,0,1199,27,83,0,0
1106_02,2,1,2,13,0,0,0,0,0,0
1107_01,0,0,2,19,0,132,575,294,0,513
1109_01,0,0,1,28,0,847,20,0,77,0
1111_01,0,1,0,2,0,0,0,0,0,0
1111_02,0,1,2,5,0,0,0,0,0,0
1111_03,0,0,0,25,0,0,0,150,562,6
1118_01,1,0,2,45,0,0,283,0,3613,0
1118_02,1,1,2,59,0,0,0,0,0,0
1118_03,1,0,2,6,0,0,0,0,0,0
1118_04,1,0,2,36,0,1477,2036,0,484,0
1118_05,1,0,2,40,0,0,10,0,4,6119
1119_01,2,0,2,36,1,43,314,352,732,3
1119_02,2,1,2,31,0,0,0,0,0,0
1120_01,0,0,1,19,0,0,439,2329,0,1
1122_01,0,1,2,13,0,0,0,0,0,0
1124_01,1,1,2,31,0,0,0,0,0,0
1124_02,0,1,2,22,0,0,0,0,0,0
1124_03,1,0,0,52,0,0,225,0,1624,49
1125_01,0,0,2,22,0,555,16,181,0,24
1125_02,0,1,2,34,0,0,0,0,0,0
1126_01,2,1,2,23,0,0,0,0,0,0
1128_01,1,1,0,14,0,0,0,0,0,0
1128_02,1,1,2,30,0,0,0,0,0,0
1131_01,1,1,0,75,0,0,0,0,0,0
1135_01,1,0,2,28,0,1371,1447,0,303,6151
1135_02,1,0,0,61,0,26,3606,177,0,138
1135_03,1,0,2,25,0,0,1039,12,4584,2158
